(26.5, 30.5, 47.5) (25.5, 30.5, 48.5) (26.5, 29.5, 48.5) (26.5, 30.5, 48.5) 
(25.5, 30.5, 52.5) (25.5, 30.5, 51.5) (24.5, 31.5, 52.5) (25.5, 31.5, 52.5) 
(25.5, 28.5, 51.5) (25.5, 28.5, 50.5) (24.5, 30.5, 51.5) (25.5, 29.5, 50.5) 
(26.5, 34.5, 51.5) (26.5, 34.5, 50.5) (25.5, 34.5, 51.5) (26.5, 35.5, 50.5) 
(24.5, 32.5, 51.5) (25.5, 32.5, 51.5) (25.5, 33.5, 50.5) (25.5, 33.5, 51.5) 
(26.5, 30.5, 27.5) (24.5, 31.5, 49.5) (24.5, 30.5, 49.5) (26.5, 30.5, 28.5) 
(26.5, 29.5, 49.5) (25.5, 30.5, 49.5) (25.5, 30.5, 50.5) (26.5, 30.5, 49.5) 
(28.5, 28.5, 15.5) (27.5, 29.5, 16.5) (28.5, 28.5, 16.5) (28.5, 29.5, 15.5) 
(25.5, 31.5, 49.5) (24.5, 32.5, 50.5) (24.5, 31.5, 50.5) (25.5, 32.5, 50.5) 
(24.5, 32.5, 49.5) (25.5, 31.5, 49.5) (25.5, 32.5, 48.5) (25.5, 32.5, 49.5) 
(25.5, 34.5, 50.5) (25.5, 33.5, 49.5) (24.5, 32.5, 49.5) (26.5, 32.5, 45.5) 
(25.5, 32.5, 50.5) (24.5, 32.5, 51.5) (24.5, 31.5, 51.5) (25.5, 32.5, 51.5) 
(26.5, 31.5, 47.5) (25.5, 32.5, 48.5) (25.5, 31.5, 48.5) (26.5, 31.5, 48.5) 
(25.5, 29.5, 51.5) (24.5, 30.5, 52.5) (25.5, 29.5, 52.5) (25.5, 30.5, 51.5) 
(25.5, 28.5, 50.5) (24.5, 30.5, 50.5) (24.5, 30.5, 51.5) (25.5, 29.5, 50.5) 
(25.5, 30.5, 50.5) (24.5, 30.5, 51.5) (25.5, 29.5, 51.5) (25.5, 30.5, 51.5) 
(24.5, 30.5, 50.5) (25.5, 28.5, 50.5) (25.5, 29.5, 49.5) (25.5, 29.5, 50.5) 
(25.5, 31.5, 52.5) (24.5, 31.5, 51.5) (24.5, 32.5, 51.5) (25.5, 32.5, 51.5) 
(25.5, 30.5, 50.5) (25.5, 30.5, 49.5) (24.5, 31.5, 50.5) (25.5, 31.5, 49.5) 
